tag_name,frequency_0,trending_date
funny,239,8/1/20
comedy,146,8/1/20
2020,110,8/1/20
animation,98,8/1/20
news,97,8/1/20
vlog,91,8/1/20
rap,83,8/1/20
nba,83,8/1/20
NBA,82,8/1/20
family,78,8/1/20
tiktok,75,8/1/20
basketball,74,8/1/20
tik tok,72,8/1/20
music,63,8/1/20
video,63,8/1/20
how to,63,8/1/20
james charles,61,8/1/20
BTS,61,8/1/20
reaction,59,8/1/20
방탄소년단,58,8/1/20
funny,280,9/1/20
comedy,236,9/1/20
2020,194,9/1/20
vlog,187,9/1/20
review,142,9/1/20
NBA,139,9/1/20
animation,134,9/1/20
rap,121,9/1/20
news,117,9/1/20
highlights,111,9/1/20
music,110,9/1/20
tik tok,110,9/1/20
tiktok,108,9/1/20
music video,106,9/1/20
Music,103,9/1/20
hip hop,101,9/1/20
Football,100,9/1/20
football,100,9/1/20
sports,95,9/1/20
NBA Playoffs,91,9/1/20
funny,329,10/1/20
comedy,256,10/1/20
2020,241,10/1/20
among us,196,10/1/20
music,181,10/1/20
highlights,150,10/1/20
tik tok,143,10/1/20
vlog,134,10/1/20
tiktok,131,10/1/20
reaction,120,10/1/20
animation,118,10/1/20
game,110,10/1/20
news,109,10/1/20
hip hop,107,10/1/20
Football,105,10/1/20
iphone 12,100,10/1/20
live,96,10/1/20
highlight,95,10/1/20
play,95,10/1/20
review,94,10/1/20
funny,250,11/1/20
comedy,235,11/1/20
2020,206,11/1/20
tik tok,161,11/1/20
animation,152,11/1/20
tiktok,151,11/1/20
news,149,11/1/20
among us,148,11/1/20
highlights,136,11/1/20
Rap,132,11/1/20
dixie damelio,127,11/1/20
charli damelio,121,11/1/20
james charles,117,11/1/20
game,117,11/1/20
Football,114,11/1/20
sport,110,11/1/20
family,109,11/1/20
Hip Hop,108,11/1/20
vlog,105,11/1/20
hip hop,104,11/1/20
funny,435,12/1/20
comedy,272,12/1/20
christmas,223,12/1/20
2020,204,12/1/20
highlights,192,12/1/20
animation,172,12/1/20
how to,146,12/1/20
music,144,12/1/20
game,133,12/1/20
tiktok,128,12/1/20
challenge,123,12/1/20
Football,118,12/1/20
football,110,12/1/20
play,108,12/1/20
among us,106,12/1/20
holiday,106,12/1/20
Music,103,12/1/20
vlog,101,12/1/20
highlight,101,12/1/20
music video,99,12/1/20
funny,312,1/1/21
comedy,215,1/1/21
challenge,181,1/1/21
2020,179,1/1/21
minecraft,178,1/1/21
news,177,1/1/21
highlights,177,1/1/21
vlog,139,1/1/21
Football,139,1/1/21
video,128,1/1/21
reaction,127,1/1/21
rap,120,1/1/21
family friendly,119,1/1/21
animation,119,1/1/21
music,119,1/1/21
NFL,117,1/1/21
game,115,1/1/21
Highlights,113,1/1/21
play,113,1/1/21
2021,109,1/1/21
funny,379,2/1/21
comedy,298,2/1/21
minecraft,156,2/1/21
challenge,149,2/1/21
rap,129,2/1/21
music,126,2/1/21
wandavision,111,2/1/21
highlights,108,2/1/21
vlog,103,2/1/21
hilarious,102,2/1/21
NBA,98,2/1/21
how to,96,2/1/21
marvel,93,2/1/21
Football,91,2/1/21
2021,90,2/1/21
family,85,2/1/21
hip hop,84,2/1/21
reaction,84,2/1/21
vision,81,2/1/21
late night,81,2/1/21
funny,434,3/1/21
comedy,306,3/1/21
minecraft,277,3/1/21
challenge,209,3/1/21
gaming,195,3/1/21
fortnite,184,3/1/21
vlog,156,3/1/21
rap,149,3/1/21
music,145,3/1/21
news,140,3/1/21
how to,129,3/1/21
new,128,3/1/21
family friendly,109,3/1/21
fortnite battle royale,102,3/1/21
hip hop,102,3/1/21
entertainment,99,3/1/21
2021,98,3/1/21
minecraft challenge,98,3/1/21
family,97,3/1/21
animation,94,3/1/21
funny,380,4/1/21
minecraft,304,4/1/21
comedy,236,4/1/21
challenge,192,4/1/21
news,148,4/1/21
vlog,137,4/1/21
tiktok,125,4/1/21
2021,122,4/1/21
fun,117,4/1/21
animation,115,4/1/21
minecraft challenge,112,4/1/21
gaming,106,4/1/21
minecraft but,102,4/1/21
dream,101,4/1/21
Minecraft,100,4/1/21
video,100,4/1/21
new,98,4/1/21
rap,96,4/1/21
football,94,4/1/21
music,89,4/1/21
funny,319,5/1/21
minecraft,250,5/1/21
comedy,238,5/1/21
challenge,149,5/1/21
rap,149,5/1/21
news,128,5/1/21
vlog,124,5/1/21
hip hop,121,5/1/21
music,120,5/1/21
how to,103,5/1/21
Rap,101,5/1/21
,100,5/1/21
science,99,5/1/21
tiktok,89,5/1/21
highlights,88,5/1/21
Minecraft,87,5/1/21
animation,82,5/1/21
minecraft challenge,82,5/1/21
fun,79,5/1/21
video,78,5/1/21
funny,601,6/1/21
minecraft,479,6/1/21
challenge,348,6/1/21
fortnite,308,6/1/21
comedy,294,6/1/21
gaming,219,6/1/21
vlog,199,6/1/21
NBA,186,6/1/21
rap,186,6/1/21
Minecraft,179,6/1/21
fortnite battle royale,166,6/1/21
hip hop,146,6/1/21
sports,144,6/1/21
reaction,144,6/1/21
friday night funkin,139,6/1/21
trailer,134,6/1/21
animation,132,6/1/21
new,129,6/1/21
fun,126,6/1/21
family,125,6/1/21
funny,456,7/1/21
minecraft,251,7/1/21
challenge,238,7/1/21
comedy,236,7/1/21
news,154,7/1/21
vlog,149,7/1/21
gaming,134,7/1/21
family friendly,131,7/1/21
video,125,7/1/21
reaction,111,7/1/21
how to,111,7/1/21
soccer,110,7/1/21
tiktok,101,7/1/21
new,94,7/1/21
prank,92,7/1/21
marvel,92,7/1/21
music,90,7/1/21
Records,88,7/1/21
fun,88,7/1/21
dream,87,7/1/21
funny,377,8/1/21
minecraft,302,8/1/21
challenge,189,8/1/21
comedy,183,8/1/21
rap,154,8/1/21
hip hop,143,8/1/21
gaming,133,8/1/21
news,133,8/1/21
tiktok,131,8/1/21
highlights,128,8/1/21
football,121,8/1/21
fortnite,108,8/1/21
vlog,108,8/1/21
reaction,98,8/1/21
animation,96,8/1/21
video,93,8/1/21
new,92,8/1/21
family friendly,87,8/1/21
music,87,8/1/21
family,87,8/1/21
funny,378,9/1/21
minecraft,286,9/1/21
comedy,269,9/1/21
challenge,142,9/1/21
vlog,133,9/1/21
animation,132,9/1/21
review,129,9/1/21
news,129,9/1/21
football,126,9/1/21
reaction,125,9/1/21
gaming,107,9/1/21
hip hop,105,9/1/21
new,102,9/1/21
family,100,9/1/21
2021,99,9/1/21
rap,99,9/1/21
youtube,99,9/1/21
minecraft but,95,9/1/21
dream,91,9/1/21
game,89,9/1/21
funny,545,10/1/21
minecraft,345,10/1/21
comedy,298,10/1/21
challenge,213,10/1/21
Minecraft,145,10/1/21
gaming,141,10/1/21
vlog,132,10/1/21
boxing,131,10/1/21
squid game,124,10/1/21
highlights,110,10/1/21
tiktok,109,10/1/21
2021,107,10/1/21
game,105,10/1/21
sports,103,10/1/21
hilarious,103,10/1/21
how to,102,10/1/21
new,101,10/1/21
reaction,99,10/1/21
family,97,10/1/21
Records,94,10/1/21
funny,72,11/1/21
minecraft,54,11/1/21
comedy,40,11/1/21
gaming,31,11/1/21
animation,31,11/1/21
challenge,28,11/1/21
halloween,27,11/1/21
teamseas,26,11/1/21
minecraft hardcore,23,11/1/21
Minecraft,21,11/1/21
100 days hardcore,19,11/1/21
minecraft but,17,11/1/21
diy,17,11/1/21
100 days,17,11/1/21
episode,15,11/1/21
season,15,11/1/21
cartoon,15,11/1/21
why is roblox down,14,11/1/21
fortnite,14,11/1/21
minecraft 100 days,14,11/1/21